Country_or_Region,Year,Indicator,Value,Unit,Urbanization,Income_Quintile
Greece,2023,Financial Hardship,18.85,Percentage of population,Total,All
Greece,2023,Financial Hardship (Impoverishing),13.33,Percentage of population,Total,All
Greece,2023,Financial Hardship (Large Non-Impoverishing),5.52,Percentage of population,Total,All
Greece,2023,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,1.97,Percentage of population,Total,All
Greece,2023,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",11.36,Percentage of population,Total,All
Greece,2023,UHC Service Coverage Index,77,0-100 scale,Total,All
Greece,2023,UHC Service Coverage Index,84,0-100 scale,Total,All
Greece,2023,UHC Service Coverage Index,75,0-100 scale,Total,All
Greece,2023,UHC Service Coverage Index,99,0-100 scale,Total,All
Greece,2023,UHC Service Coverage Index,58,0-100 scale,Total,All
Grenada,2000,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2000,UHC Service Coverage Index,72,0-100 scale,Total,All
Grenada,2000,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2000,UHC Service Coverage Index,87,0-100 scale,Total,All
Grenada,2000,UHC Service Coverage Index,61,0-100 scale,Total,All
Grenada,2001,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2001,UHC Service Coverage Index,72,0-100 scale,Total,All
Grenada,2001,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2001,UHC Service Coverage Index,88,0-100 scale,Total,All
Grenada,2001,UHC Service Coverage Index,62,0-100 scale,Total,All
Grenada,2002,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2002,UHC Service Coverage Index,72,0-100 scale,Total,All
Grenada,2002,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2002,UHC Service Coverage Index,89,0-100 scale,Total,All
Grenada,2002,UHC Service Coverage Index,62,0-100 scale,Total,All
Grenada,2003,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2003,UHC Service Coverage Index,72,0-100 scale,Total,All
Grenada,2003,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2003,UHC Service Coverage Index,89,0-100 scale,Total,All
Grenada,2003,UHC Service Coverage Index,63,0-100 scale,Total,All
Grenada,2004,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2004,UHC Service Coverage Index,72,0-100 scale,Total,All
Grenada,2004,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2004,UHC Service Coverage Index,90,0-100 scale,Total,All
Grenada,2004,UHC Service Coverage Index,64,0-100 scale,Total,All
Grenada,2005,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2005,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2005,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2005,UHC Service Coverage Index,91,0-100 scale,Total,All
Grenada,2005,UHC Service Coverage Index,64,0-100 scale,Total,All
Grenada,2006,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2006,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2006,UHC Service Coverage Index,73,0-100 scale,Total,All
Grenada,2006,UHC Service Coverage Index,91,0-100 scale,Total,All
Grenada,2006,UHC Service Coverage Index,65,0-100 scale,Total,All
Grenada,2007,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2007,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2007,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2007,UHC Service Coverage Index,92,0-100 scale,Total,All
Grenada,2007,UHC Service Coverage Index,65,0-100 scale,Total,All
Grenada,2008,Financial Hardship,8.41,Percentage of population,Total,Q1 (Poorest)
Grenada,2008,Financial Hardship,6.08,Percentage of population,Total,Q2
Grenada,2008,Financial Hardship,2.11,Percentage of population,Total,Q3
Grenada,2008,Financial Hardship,0,Percentage of population,Total,Q4
Grenada,2008,Financial Hardship,0.41,Percentage of population,Total,Q5 (Richest)
Grenada,2008,Financial Hardship,3.41,Percentage of population,Total,All
Grenada,2008,Financial Hardship (Impoverishing),2.33,Percentage of population,Total,All
Grenada,2008,Financial Hardship (Large Non-Impoverishing),1.08,Percentage of population,Total,All
Grenada,2008,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,0.64,Percentage of population,Total,All
Grenada,2008,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",1.69,Percentage of population,Total,All
Grenada,2008,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2008,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2008,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2008,UHC Service Coverage Index,92,0-100 scale,Total,All
Grenada,2008,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2009,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2009,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2009,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2009,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2009,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2010,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2010,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2010,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2010,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2010,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2011,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2011,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2011,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2011,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2011,UHC Service Coverage Index,67,0-100 scale,Total,All
Grenada,2012,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2012,UHC Service Coverage Index,70,0-100 scale,Total,All
Grenada,2012,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2012,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2012,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2013,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2013,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2013,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2013,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2013,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2014,UHC Service Coverage Index,77,0-100 scale,Total,All
Grenada,2014,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2014,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2014,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2014,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2015,UHC Service Coverage Index,77,0-100 scale,Total,All
Grenada,2015,UHC Service Coverage Index,78,0-100 scale,Total,All
Grenada,2015,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2015,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2015,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2016,UHC Service Coverage Index,77,0-100 scale,Total,All
Grenada,2016,UHC Service Coverage Index,78,0-100 scale,Total,All
Grenada,2016,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2016,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2016,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2017,UHC Service Coverage Index,77,0-100 scale,Total,All
Grenada,2017,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2017,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2017,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2017,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2018,UHC Service Coverage Index,78,0-100 scale,Total,All
Grenada,2018,UHC Service Coverage Index,82,0-100 scale,Total,All
Grenada,2018,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2018,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2018,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2019,UHC Service Coverage Index,78,0-100 scale,Total,All
Grenada,2019,UHC Service Coverage Index,80,0-100 scale,Total,All
Grenada,2019,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2019,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2019,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2020,UHC Service Coverage Index,77,0-100 scale,Total,All
Grenada,2020,UHC Service Coverage Index,77,0-100 scale,Total,All
Grenada,2020,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2020,UHC Service Coverage Index,93,0-100 scale,Total,All
Grenada,2020,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2021,UHC Service Coverage Index,76,0-100 scale,Total,All
Grenada,2021,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2021,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2021,UHC Service Coverage Index,92,0-100 scale,Total,All
Grenada,2021,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2022,UHC Service Coverage Index,75,0-100 scale,Total,All
Grenada,2022,UHC Service Coverage Index,70,0-100 scale,Total,All
Grenada,2022,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2022,UHC Service Coverage Index,92,0-100 scale,Total,All
Grenada,2022,UHC Service Coverage Index,66,0-100 scale,Total,All
Grenada,2023,UHC Service Coverage Index,78,0-100 scale,Total,All
Grenada,2023,UHC Service Coverage Index,80,0-100 scale,Total,All
Grenada,2023,UHC Service Coverage Index,74,0-100 scale,Total,All
Grenada,2023,UHC Service Coverage Index,92,0-100 scale,Total,All
Grenada,2023,UHC Service Coverage Index,66,0-100 scale,Total,All
Guatemala,2000,Catastrophic Spending (More than 10% of household budget),3.68,Percentage of population,Total,All
Guatemala,2000,Catastrophic Spending (More than 25% of household budget),0.33,Percentage of population,Total,All
Guatemala,2000,Financial Hardship,74.48,Percentage of population,Total,Q1 (Poorest)
Guatemala,2000,Financial Hardship,46.7,Percentage of population,Total,Q2
Guatemala,2000,Financial Hardship,1.19,Percentage of population,Total,Q3
Guatemala,2000,Financial Hardship,0.29,Percentage of population,Total,Q4
Guatemala,2000,Financial Hardship,0.46,Percentage of population,Total,Q5 (Richest)
Guatemala,2000,Financial Hardship,24.64,Percentage of population,Total,All
Guatemala,2000,Financial Hardship,35.39,Percentage of population,Rural area,All
Guatemala,2000,Financial Hardship,7.67,Percentage of population,Urban area,All
Guatemala,2000,Financial Hardship,25.51,Percentage of population,Total,All
Guatemala,2000,Financial Hardship,28.33,Percentage of population,Total,All
Guatemala,2000,Financial Hardship,7.51,Percentage of population,Total,All
Guatemala,2000,Financial Hardship (Impoverishing),23.25,Percentage of population,Total,All
Guatemala,2000,Financial Hardship (Large Non-Impoverishing),1.39,Percentage of population,Total,All
Guatemala,2000,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,0.85,Percentage of population,Total,All
Guatemala,2000,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",22.4,Percentage of population,Total,All
Guatemala,2000,UHC Service Coverage Index,56,0-100 scale,Total,All
Guatemala,2000,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2000,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2000,UHC Service Coverage Index,61,0-100 scale,Total,All
Guatemala,2000,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2001,UHC Service Coverage Index,56,0-100 scale,Total,All
Guatemala,2001,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2001,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2001,UHC Service Coverage Index,61,0-100 scale,Total,All
Guatemala,2001,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2002,UHC Service Coverage Index,56,0-100 scale,Total,All
Guatemala,2002,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2002,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2002,UHC Service Coverage Index,61,0-100 scale,Total,All
Guatemala,2002,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2003,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2003,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2003,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2003,UHC Service Coverage Index,62,0-100 scale,Total,All
Guatemala,2003,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2004,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2004,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2004,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2004,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2004,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2005,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2005,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2005,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2005,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2005,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2006,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2006,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2006,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2006,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2006,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2007,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2007,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2007,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2007,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2007,UHC Service Coverage Index,66,0-100 scale,Total,All
Guatemala,2008,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2008,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2008,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2008,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2008,UHC Service Coverage Index,66,0-100 scale,Total,All
Guatemala,2009,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2009,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2009,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2009,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2009,UHC Service Coverage Index,66,0-100 scale,Total,All
Guatemala,2010,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2010,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2010,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2010,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2010,UHC Service Coverage Index,67,0-100 scale,Total,All
Guatemala,2011,Catastrophic Spending (More than 10% of household budget),9.36,Percentage of population,Total,All
Guatemala,2011,Catastrophic Spending (More than 25% of household budget),2.25,Percentage of population,Total,All
Guatemala,2011,Financial Hardship,41.99,Percentage of population,Total,Q1 (Poorest)
Guatemala,2011,Financial Hardship,19.1,Percentage of population,Total,Q2
Guatemala,2011,Financial Hardship,6.96,Percentage of population,Total,Q3
Guatemala,2011,Financial Hardship,3.22,Percentage of population,Total,Q4
Guatemala,2011,Financial Hardship,4.34,Percentage of population,Total,Q5 (Richest)
Guatemala,2011,Financial Hardship,15.12,Percentage of population,Total,All
Guatemala,2011,Financial Hardship,21.09,Percentage of population,Rural area,All
Guatemala,2011,Financial Hardship,8.79,Percentage of population,Urban area,All
Guatemala,2011,Financial Hardship,3.15,Percentage of population,Total,All
Guatemala,2011,Financial Hardship,14.34,Percentage of population,Total,All
Guatemala,2011,Financial Hardship,22.22,Percentage of population,Total,All
Guatemala,2011,Financial Hardship,8.88,Percentage of population,Total,All
Guatemala,2011,Financial Hardship,8.07,Percentage of population,Total,All
Guatemala,2011,Financial Hardship (Impoverishing),11.38,Percentage of population,Total,All
Guatemala,2011,Financial Hardship (Large Non-Impoverishing),3.74,Percentage of population,Total,All
Guatemala,2011,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,1.17,Percentage of population,Total,All
Guatemala,2011,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",10.22,Percentage of population,Total,All
Guatemala,2011,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2011,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2011,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2011,UHC Service Coverage Index,66,0-100 scale,Total,All
Guatemala,2011,UHC Service Coverage Index,67,0-100 scale,Total,All
Guatemala,2012,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2012,UHC Service Coverage Index,39,0-100 scale,Total,All
Guatemala,2012,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2012,UHC Service Coverage Index,66,0-100 scale,Total,All
Guatemala,2012,UHC Service Coverage Index,67,0-100 scale,Total,All
Guatemala,2013,UHC Service Coverage Index,59,0-100 scale,Total,All
Guatemala,2013,UHC Service Coverage Index,43,0-100 scale,Total,All
Guatemala,2013,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2013,UHC Service Coverage Index,67,0-100 scale,Total,All
Guatemala,2013,UHC Service Coverage Index,68,0-100 scale,Total,All
Guatemala,2014,Financial Hardship,71.63,Percentage of population,Total,Q1 (Poorest)
Guatemala,2014,Financial Hardship,33.77,Percentage of population,Total,Q2
Guatemala,2014,Financial Hardship,9.16,Percentage of population,Total,Q3
Guatemala,2014,Financial Hardship,5.36,Percentage of population,Total,Q4
Guatemala,2014,Financial Hardship,5.41,Percentage of population,Total,Q5 (Richest)
Guatemala,2014,Financial Hardship,25.07,Percentage of population,Total,All
Guatemala,2014,Financial Hardship,34.62,Percentage of population,Rural area,All
Guatemala,2014,Financial Hardship,15.08,Percentage of population,Urban area,All
Guatemala,2014,Financial Hardship (Impoverishing),20.1,Percentage of population,Total,All
Guatemala,2014,Financial Hardship (Large Non-Impoverishing),4.96,Percentage of population,Total,All
Guatemala,2014,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,2.43,Percentage of population,Total,All
Guatemala,2014,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",17.67,Percentage of population,Total,All
Guatemala,2014,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2014,UHC Service Coverage Index,37,0-100 scale,Total,All
Guatemala,2014,UHC Service Coverage Index,62,0-100 scale,Total,All
Guatemala,2014,UHC Service Coverage Index,67,0-100 scale,Total,All
Guatemala,2014,UHC Service Coverage Index,68,0-100 scale,Total,All
Guatemala,2015,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2015,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2015,UHC Service Coverage Index,62,0-100 scale,Total,All
Guatemala,2015,UHC Service Coverage Index,67,0-100 scale,Total,All
Guatemala,2015,UHC Service Coverage Index,68,0-100 scale,Total,All
Guatemala,2016,UHC Service Coverage Index,56,0-100 scale,Total,All
Guatemala,2016,UHC Service Coverage Index,33,0-100 scale,Total,All
Guatemala,2016,UHC Service Coverage Index,63,0-100 scale,Total,All
Guatemala,2016,UHC Service Coverage Index,68,0-100 scale,Total,All
Guatemala,2016,UHC Service Coverage Index,69,0-100 scale,Total,All
Guatemala,2017,UHC Service Coverage Index,56,0-100 scale,Total,All
Guatemala,2017,UHC Service Coverage Index,33,0-100 scale,Total,All
Guatemala,2017,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2017,UHC Service Coverage Index,68,0-100 scale,Total,All
Guatemala,2017,UHC Service Coverage Index,69,0-100 scale,Total,All
Guatemala,2018,UHC Service Coverage Index,57,0-100 scale,Total,All
Guatemala,2018,UHC Service Coverage Index,35,0-100 scale,Total,All
Guatemala,2018,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2018,UHC Service Coverage Index,68,0-100 scale,Total,All
Guatemala,2018,UHC Service Coverage Index,69,0-100 scale,Total,All
Guatemala,2019,UHC Service Coverage Index,59,0-100 scale,Total,All
Guatemala,2019,UHC Service Coverage Index,39,0-100 scale,Total,All
Guatemala,2019,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2019,UHC Service Coverage Index,69,0-100 scale,Total,All
Guatemala,2019,UHC Service Coverage Index,70,0-100 scale,Total,All
Guatemala,2020,UHC Service Coverage Index,61,0-100 scale,Total,All
Guatemala,2020,UHC Service Coverage Index,44,0-100 scale,Total,All
Guatemala,2020,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2020,UHC Service Coverage Index,69,0-100 scale,Total,All
Guatemala,2020,UHC Service Coverage Index,70,0-100 scale,Total,All
Guatemala,2021,UHC Service Coverage Index,59,0-100 scale,Total,All
Guatemala,2021,UHC Service Coverage Index,40,0-100 scale,Total,All
Guatemala,2021,UHC Service Coverage Index,64,0-100 scale,Total,All
Guatemala,2021,UHC Service Coverage Index,69,0-100 scale,Total,All
Guatemala,2021,UHC Service Coverage Index,70,0-100 scale,Total,All
Guatemala,2022,UHC Service Coverage Index,59,0-100 scale,Total,All
Guatemala,2022,UHC Service Coverage Index,39,0-100 scale,Total,All
Guatemala,2022,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2022,UHC Service Coverage Index,70,0-100 scale,Total,All
Guatemala,2022,UHC Service Coverage Index,70,0-100 scale,Total,All
Guatemala,2023,Financial Hardship,53.62,Percentage of population,Total,Q1 (Poorest)
Guatemala,2023,Financial Hardship,40.49,Percentage of population,Total,Q2
Guatemala,2023,Financial Hardship,4.16,Percentage of population,Total,Q3
Guatemala,2023,Financial Hardship,2.68,Percentage of population,Total,Q4
Guatemala,2023,Financial Hardship,1.96,Percentage of population,Total,Q5 (Richest)
Guatemala,2023,Financial Hardship,20.59,Percentage of population,Total,All
Guatemala,2023,Financial Hardship,29.21,Percentage of population,Rural area,All
Guatemala,2023,Financial Hardship,12.76,Percentage of population,Urban area,All
Guatemala,2023,Financial Hardship,3.95,Percentage of population,Total,All
Guatemala,2023,Financial Hardship,22,Percentage of population,Total,All
Guatemala,2023,Financial Hardship,23.93,Percentage of population,Total,All
Guatemala,2023,Financial Hardship,11.86,Percentage of population,Total,All
Guatemala,2023,Financial Hardship,10.66,Percentage of population,Total,All
Guatemala,2023,Financial Hardship (Impoverishing),18.48,Percentage of population,Total,All
Guatemala,2023,Financial Hardship (Large Non-Impoverishing),2.11,Percentage of population,Total,All
Guatemala,2023,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,1.49,Percentage of population,Total,All
Guatemala,2023,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",16.98,Percentage of population,Total,All
Guatemala,2023,UHC Service Coverage Index,58,0-100 scale,Total,All
Guatemala,2023,UHC Service Coverage Index,36,0-100 scale,Total,All
Guatemala,2023,UHC Service Coverage Index,65,0-100 scale,Total,All
Guatemala,2023,UHC Service Coverage Index,71,0-100 scale,Total,All
Guatemala,2023,UHC Service Coverage Index,70,0-100 scale,Total,All
Guinea,2000,UHC Service Coverage Index,19,0-100 scale,Total,All
Guinea,2000,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2000,UHC Service Coverage Index,32,0-100 scale,Total,All
Guinea,2000,UHC Service Coverage Index,6,0-100 scale,Total,All
Guinea,2000,UHC Service Coverage Index,51,0-100 scale,Total,All
Guinea,2001,UHC Service Coverage Index,19,0-100 scale,Total,All
Guinea,2001,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2001,UHC Service Coverage Index,32,0-100 scale,Total,All
Guinea,2001,UHC Service Coverage Index,6,0-100 scale,Total,All
Guinea,2001,UHC Service Coverage Index,52,0-100 scale,Total,All
Guinea,2002,Catastrophic Spending (More than 10% of household budget),10.05,Percentage of population,Total,All
Guinea,2002,Catastrophic Spending (More than 25% of household budget),2.88,Percentage of population,Total,All
Guinea,2002,Financial Hardship,55.08,Percentage of population,Total,Q1 (Poorest)
Guinea,2002,Financial Hardship,67.27,Percentage of population,Total,Q2
Guinea,2002,Financial Hardship,54.07,Percentage of population,Total,Q3
Guinea,2002,Financial Hardship,8.47,Percentage of population,Total,Q4
Guinea,2002,Financial Hardship,2.33,Percentage of population,Total,Q5 (Richest)
Guinea,2002,Financial Hardship,37.45,Percentage of population,Total,All
Guinea,2002,Financial Hardship,45.08,Percentage of population,Rural area,All
Guinea,2002,Financial Hardship,19.24,Percentage of population,Urban area,All
Guinea,2002,Financial Hardship,8.4,Percentage of population,Total,All
Guinea,2002,Financial Hardship,33.73,Percentage of population,Total,All
Guinea,2002,Financial Hardship,43.73,Percentage of population,Total,All
Guinea,2002,Financial Hardship,13.8,Percentage of population,Total,All
Guinea,2002,Financial Hardship (Impoverishing),34.69,Percentage of population,Total,All
Guinea,2002,Financial Hardship (Large Non-Impoverishing),2.76,Percentage of population,Total,All
Guinea,2002,Financial Hardship - 2.1: Pushed into poverty (based on societal poverty line) due to out-of-pocket health expenditure,2.33,Percentage of population,Total,All
Guinea,2002,"Financial Hardship - 2.2: Further impoverished due to out-of-pocket health expenditure, based on the societal poverty line",32.36,Percentage of population,Total,All
Guinea,2002,UHC Service Coverage Index,19,0-100 scale,Total,All
Guinea,2002,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2002,UHC Service Coverage Index,33,0-100 scale,Total,All
Guinea,2002,UHC Service Coverage Index,6,0-100 scale,Total,All
Guinea,2002,UHC Service Coverage Index,53,0-100 scale,Total,All
Guinea,2003,UHC Service Coverage Index,18,0-100 scale,Total,All
Guinea,2003,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2003,UHC Service Coverage Index,34,0-100 scale,Total,All
Guinea,2003,UHC Service Coverage Index,5,0-100 scale,Total,All
Guinea,2003,UHC Service Coverage Index,54,0-100 scale,Total,All
Guinea,2004,UHC Service Coverage Index,17,0-100 scale,Total,All
Guinea,2004,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2004,UHC Service Coverage Index,37,0-100 scale,Total,All
Guinea,2004,UHC Service Coverage Index,3,0-100 scale,Total,All
Guinea,2004,UHC Service Coverage Index,56,0-100 scale,Total,All
Guinea,2005,UHC Service Coverage Index,18,0-100 scale,Total,All
Guinea,2005,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2005,UHC Service Coverage Index,39,0-100 scale,Total,All
Guinea,2005,UHC Service Coverage Index,3,0-100 scale,Total,All
Guinea,2005,UHC Service Coverage Index,57,0-100 scale,Total,All
Guinea,2006,UHC Service Coverage Index,21,0-100 scale,Total,All
Guinea,2006,UHC Service Coverage Index,13,0-100 scale,Total,All
Guinea,2006,UHC Service Coverage Index,39,0-100 scale,Total,All
Guinea,2006,UHC Service Coverage Index,6,0-100 scale,Total,All
Guinea,2006,UHC Service Coverage Index,57,0-100 scale,Total,All
Guinea,2007,Catastrophic Spending (More than 10% of household budget),4.3,Percentage of population,Total,All
Guinea,2007,Catastrophic Spending (More than 25% of household budget),0.22,Percentage of population,Total,All
Guinea,2007,Financial Hardship,78.57,Percentage of population,Total,Q1 (Poorest)
Guinea,2007,Financial Hardship,83.62,Percentage of population,Total,Q2
Guinea,2007,Financial Hardship,49.52,Percentage of population,Total,Q3
Guinea,2007,Financial Hardship,3.46,Percentage of population,Total,Q4
